split	class_name	path
train	airplane	train/airplane/10008_airplane.png
train	airplane	train/airplane/10124_airplane.png
train	airplane	train/airplane/10148_airplane.png
train	airplane	train/airplane/10197_airplane.png
train	airplane	train/airplane/10215_airplane.png
train	airplane	train/airplane/10323_airplane.png
train	airplane	train/airplane/10330_airplane.png
train	airplane	train/airplane/10399_airplane.png
train	airplane	train/airplane/10455_airplane.png
train	airplane	train/airplane/10499_airplane.png
train	airplane	train/airplane/10545_airplane.png
train	airplane	train/airplane/10578_airplane.png
train	airplane	train/airplane/10675_airplane.png
train	airplane	train/airplane/10729_airplane.png
train	airplane	train/airplane/10777_airplane.png
train	airplane	train/airplane/10787_airplane.png
train	airplane	train/airplane/10798_airplane.png
train	airplane	train/airplane/10872_airplane.png
train	airplane	train/airplane/10893_airplane.png
train	airplane	train/airplane/10954_airplane.png
train	airplane	train/airplane/11060_airplane.png
train	airplane	train/airplane/11218_airplane.png
train	airplane	train/airplane/11297_airplane.png
train	airplane	train/airplane/11400_airplane.png
train	airplane	train/airplane/11451_airplane.png
train	airplane	train/airplane/11475_airplane.png
train	airplane	train/airplane/11633_airplane.png
train	airplane	train/airplane/11768_airplane.png
train	airplane	train/airplane/11812_airplane.png
train	airplane	train/airplane/11958_airplane.png
train	airplane	train/airplane/11979_airplane.png
train	airplane	train/airplane/12073_airplane.png
train	airplane	train/airplane/1214_airplane.png
train	airplane	train/airplane/12192_airplane.png
train	airplane	train/airplane/12296_airplane.png
train	airplane	train/airplane/1249_airplane.png
train	airplane	train/airplane/12507_airplane.png
train	airplane	train/airplane/12534_airplane.png
train	airplane	train/airplane/12540_airplane.png
train	airplane	train/airplane/1278_airplane.png
train	airplane	train/airplane/12910_airplane.png
train	airplane	train/airplane/12944_airplane.png
train	airplane	train/airplane/13030_airplane.png
train	airplane	train/airplane/13165_airplane.png
train	airplane	train/airplane/13181_airplane.png
train	airplane	train/airplane/13230_airplane.png
train	airplane	train/airplane/1329_airplane.png
train	airplane	train/airplane/13401_airplane.png
train	airplane	train/airplane/13420_airplane.png
train	airplane	train/airplane/13436_airplane.png
train	airplane	train/airplane/13490_airplane.png
train	airplane	train/airplane/13656_airplane.png
train	airplane	train/airplane/1376_airplane.png
train	airplane	train/airplane/1381_airplane.png
train	airplane	train/airplane/1382_airplane.png
train	airplane	train/airplane/13841_airplane.png
train	airplane	train/airplane/14216_airplane.png
train	airplane	train/airplane/1424_airplane.png
train	airplane	train/airplane/14350_airplane.png
train	airplane	train/airplane/14393_airplane.png
train	airplane	train/airplane/14856_airplane.png
train	airplane	train/airplane/14949_airplane.png
train	airplane	train/airplane/15077_airplane.png
train	airplane	train/airplane/15396_airplane.png
train	airplane	train/airplane/15414_airplane.png
train	airplane	train/airplane/15452_airplane.png
train	airplane	train/airplane/15466_airplane.png
train	airplane	train/airplane/15839_airplane.png
train	airplane	train/airplane/15887_airplane.png
train	airplane	train/airplane/15959_airplane.png
train	airplane	train/airplane/16160_airplane.png
train	airplane	train/airplane/16313_airplane.png
train	airplane	train/airplane/16346_airplane.png
train	airplane	train/airplane/16391_airplane.png
train	airplane	train/airplane/16501_airplane.png
train	airplane	train/airplane/16529_airplane.png
